id,date,type,full_description,intended_benefits,potential_risks
1,2024-05-01,Leg amputation,"The surgical removal of all or part of a leg due to injury, disease, or medical necessity.","Relief from pain or disability caused by severe injury, disease, or non-functional limb.","Risk of surgical complications such as infection, bleeding, and nerve damage. Psychological impact of limb loss."
2,2024-05-01,Heart surgery,"A procedure performed on the heart to correct defects, treat ischaemic heart disease, or manage other cardiac conditions.","Improvement of heart function, relief of symptoms, prevention of complications, and prolongation of life expectancy.","Risks include bleeding, infection, heart rhythm disturbances, blood clots, stroke, and anesthesia complications."
3,2024-05-01,Cosmetic surgery,"Surgical procedures performed to enhance or alter a person's appearance, often elective and not medically necessary.","Improved aesthetic appearance, enhanced self-confidence, and psychological well-being.","Risks include anesthesia complications, infection, scarring, dissatisfaction with results, and potential need for revision surgery."
4,2024-05-01,Blood transfusion,"The process of transferring blood or blood products into one's bloodstream, typically to replace lost blood or treat certain medical conditions.","Correction of anemia, restoration of blood volume, improvement of oxygen delivery to tissues, and treatment of bleeding disorders.","Risks include transfusion reactions, transmission of infections, immune-mediated complications, and fluid overload."
5,2024-05-01,Organ donation,"The voluntary act of donating organs or tissues for transplantation into another person's body to improve their health or save their life.","Saving or improving the lives of recipients, advancing medical research, and providing comfort to donor families.","Risks to donors are typically minimal but may include surgical complications, infection, and psychological stress."
6,2024-05-01,Endoscopy,"A procedure used to examine the interior of a hollow organ or cavity of the body using an endoscope, a flexible tube with a light and camera attached.","Diagnosis of gastrointestinal conditions, visualization of abnormalities, biopsy collection, and therapeutic interventions.","Risks include perforation, bleeding, infection, adverse reactions to sedation, and complications related to specific procedures."
7,2024-05-01,Lumbar puncture,"A medical procedure in which a needle is inserted into the spinal canal in the lower back to collect cerebrospinal fluid for diagnostic purposes or to administer medications.","Diagnosis of neurological conditions, relief of intracranial pressure, administration of medications directly into the cerebrospinal fluid.","Risks include headache, bleeding, infection, nerve damage, and rare but serious complications such as brain herniation."
8,2024-05-01,Cataract surgery,"A surgical procedure to remove a clouded lens from the eye and replace it with an artificial lens to restore vision impaired by cataracts.","Improvement of visual acuity, restoration of color perception, enhanced quality of life, and independence.","Risks include infection, bleeding, retinal detachment, secondary cataract formation, and dissatisfaction with visual outcomes."
9,2024-05-01,Electroconvulsive therapy (ECT),"A psychiatric treatment in which electric currents are passed through the brain, intentionally triggering a brief seizure to alleviate symptoms of certain mental illnesses.","Reduction of symptoms in severe depression, mania, and certain psychiatric disorders resistant to other treatments.","Risks include memory loss, confusion, headaches, muscle aches, cardiovascular complications, and rarely, death."
10,2024-05-01,In vitro fertilization (IVF),"A fertility treatment in which eggs are retrieved from a woman's ovaries, fertilized with sperm in a laboratory dish, and then transferred to the uterus to establish a pregnancy.","Assistance in achieving pregnancy for couples with infertility due to various factors such as ovulatory disorders, tubal factors, or male infertility.","Risks include multiple pregnancy, ovarian hyperstimulation syndrome, ectopic pregnancy, and psychological stress."
11,2024-05-01,Colonoscopy,"An endoscopic examination of the large intestine and the distal part of the small bowel with a camera on a flexible tube passed through the anus.","Detection and diagnosis of colorectal diseases, screening for colorectal cancer, and removal of precancerous polyps.","Risks include perforation, bleeding, infection, adverse reactions to sedation, and complications related to bowel preparation."
12,2024-05-01,Knee replacement surgery,"A surgical procedure to replace a damaged, diseased, or worn knee joint with an artificial joint to relieve pain and improve function.","Relief from pain, restoration of knee function, improvement in mobility and quality of life.","Risks include infection, bleeding, blood clots, stiffness, implant loosening, and nerve or blood vessel damage."
13,2024-05-01,LASIK eye surgery,"A refractive surgery procedure that uses a laser to correct vision problems such as nearsightedness, farsightedness, and astigmatism.","Reduced dependence on glasses or contact lenses, improved vision clarity and quality.","Risks include dry eyes, glare, halos, overcorrection or undercorrection of vision, and rarely, infection or corneal flap complications."
14,2024-05-01,Appendectomy,"Surgical removal of the appendix, typically performed in cases of acute appendicitis.","Relief from appendicitis symptoms, prevention of potential complications such as rupture and peritonitis.","Risks include infection, bleeding, injury to surrounding organs, and complications related to anesthesia."
15,2024-05-01,Hip replacement surgery,"A surgical procedure to replace a damaged or diseased hip joint with an artificial joint to relieve pain and improve mobility.","Relief from hip pain, restoration of hip function, improvement in mobility and quality of life.","Risks include infection, blood clots, implant loosening, dislocation, and nerve or blood vessel damage."
16,2024-05-01,MRI scan,"A medical imaging technique that uses strong magnetic fields and radio waves to produce detailed images of the internal structures of the body.","Diagnosis and evaluation of various conditions including injuries, tumors, and diseases.","Risks are generally minimal but may include allergic reactions to contrast agents, claustrophobia, and rare complications in patients with certain implants or devices."
17,2024-05-01,Prostatectomy,"Surgical removal of part or all of the prostate gland, often performed to treat prostate cancer or benign prostatic hyperplasia (BPH).","Treatment of prostate cancer, relief from urinary symptoms caused by an enlarged prostate.","Risks include urinary incontinence, erectile dysfunction, bleeding, infection, and injury to nearby structures such as nerves and blood vessels."
18,2024-05-01,Tonsillectomy,"Surgical removal of the tonsils, typically performed to treat recurrent tonsillitis, obstructive sleep apnea, or complications such as difficulty swallowing or breathing.","Reduction in the frequency and severity of throat infections, improvement in breathing and swallowing.","Risks include bleeding, infection, anesthesia complications, and temporary changes in voice or taste."
19,2024-05-01,Hysterectomy,"Surgical removal of the uterus, often performed to treat conditions such as uterine fibroids, endometriosis, or certain types of cancer.","Relief from symptoms such as pelvic pain, heavy menstrual bleeding, or pressure on nearby organs.","Risks include bleeding, infection, injury to surrounding organs, and complications related to anesthesia."
